"cumulative_cvaccine","cvaccine","date_vaccine_completed","province"
0,0,"12-01-2021","Alberta"
0,0,"13-01-2021","Alberta"
0,0,"14-01-2021","Alberta"
0,0,"15-01-2021","Alberta"
0,0,"16-01-2021","Alberta"
0,0,"17-01-2021","Alberta"
0,0,"18-01-2021","Alberta"
0,0,"19-01-2021","Alberta"
0,0,"20-01-2021","Alberta"
7003,7003,"21-01-2021","Alberta"
7272,269,"22-01-2021","Alberta"
7272,0,"23-01-2021","Alberta"
7272,0,"24-01-2021","Alberta"
9876,2604,"25-01-2021","Alberta"
10174,298,"26-01-2021","Alberta"
11362,1188,"27-01-2021","Alberta"
12672,1310,"28-01-2021","Alberta"
0,0,"12-01-2021","BC"
0,0,"13-01-2021","BC"
0,0,"14-01-2021","BC"
0,0,"15-01-2021","BC"
0,0,"16-01-2021","BC"
0,0,"17-01-2021","BC"
0,0,"18-01-2021","BC"
0,0,"19-01-2021","BC"
0,0,"20-01-2021","BC"
1663,1663,"21-01-2021","BC"
2202,539,"22-01-2021","BC"
2202,0,"23-01-2021","BC"
2202,0,"24-01-2021","BC"
3193,991,"25-01-2021","BC"
4105,912,"26-01-2021","BC"
4160,55,"27-01-2021","BC"
4185,25,"28-01-2021","BC"
0,0,"12-01-2021","Manitoba"
1660,1660,"13-01-2021","Manitoba"
1660,0,"14-01-2021","Manitoba"
2138,478,"15-01-2021","Manitoba"
2138,0,"16-01-2021","Manitoba"
2138,0,"17-01-2021","Manitoba"
2144,6,"18-01-2021","Manitoba"
2144,0,"19-01-2021","Manitoba"
2594,450,"20-01-2021","Manitoba"
3038,444,"21-01-2021","Manitoba"
3390,352,"22-01-2021","Manitoba"
3394,4,"23-01-2021","Manitoba"
3396,2,"24-01-2021","Manitoba"
3402,6,"25-01-2021","Manitoba"
4242,840,"26-01-2021","Manitoba"
5087,845,"27-01-2021","Manitoba"
5934,847,"28-01-2021","Manitoba"
1862,1862,"12-01-2021","New Brunswick"
1862,0,"13-01-2021","New Brunswick"
1862,0,"14-01-2021","New Brunswick"
1862,0,"15-01-2021","New Brunswick"
1862,0,"16-01-2021","New Brunswick"
1862,0,"17-01-2021","New Brunswick"
2567,705,"18-01-2021","New Brunswick"
2567,0,"19-01-2021","New Brunswick"
2567,0,"20-01-2021","New Brunswick"
2567,0,"21-01-2021","New Brunswick"
2567,0,"22-01-2021","New Brunswick"
2567,0,"23-01-2021","New Brunswick"
2567,0,"24-01-2021","New Brunswick"
2839,272,"25-01-2021","New Brunswick"
2839,0,"26-01-2021","New Brunswick"
2839,0,"27-01-2021","New Brunswick"
2839,0,"28-01-2021","New Brunswick"
0,0,"12-01-2021","NL"
1495,1495,"13-01-2021","NL"
1495,0,"14-01-2021","NL"
1495,0,"15-01-2021","NL"
1495,0,"16-01-2021","NL"
1495,0,"17-01-2021","NL"
1495,0,"18-01-2021","NL"
1495,0,"19-01-2021","NL"
1737,242,"20-01-2021","NL"
1737,0,"21-01-2021","NL"
1737,0,"22-01-2021","NL"
